STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG
HnsccImmuneLandscape	project	project_role	Human Cell Atlas Data Wrangler	http://www.ebi.ac.uk/efo/EFO_0009737
HnsccImmuneLandscape	donor_organism	ethnicity	European	http://purl.obolibrary.org/obo/HANCESTRO_0005
HnsccImmuneLandscape	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
HnsccImmuneLandscape	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
HnsccImmuneLandscape	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
HnsccImmuneLandscape	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
HnsccImmuneLandscape	donor_organism	diseases	sleep apnea syndrome	http://purl.obolibrary.org/obo/MONDO_0005296
HnsccImmuneLandscape	donor_organism	diseases	oral cavity carcinoma	http://purl.obolibrary.org/obo/MONDO_0044925
HnsccImmuneLandscape	donor_organism	diseases	carcinoma of floor of mouth	http://purl.obolibrary.org/obo/MONDO_0021343
HnsccImmuneLandscape	donor_organism	diseases	squamous cell carcinoma of buccal mucosa	http://purl.obolibrary.org/obo/MONDO_0021431
HnsccImmuneLandscape	donor_organism	diseases	tongue cancer	http://purl.obolibrary.org/obo/MONDO_0004631
HnsccImmuneLandscape	donor_organism	diseases	laryngeal carcinoma	http://purl.obolibrary.org/obo/MONDO_0002358
HnsccImmuneLandscape	donor_organism	diseases	lower gum cancer	http://purl.obolibrary.org/obo/MONDO_0004713
HnsccImmuneLandscape	donor_organism	diseases	carcinoma of supraglottis	http://purl.obolibrary.org/obo/MONDO_0004357
HnsccImmuneLandscape	donor_organism	diseases	mandibular cancer	http://purl.obolibrary.org/obo/MONDO_0005837
HnsccImmuneLandscape	donor_organism	diseases	human papilloma virus infection	http://purl.obolibrary.org/obo/MONDO_0005161
HnsccImmuneLandscape	donor_organism	diseases	tonsil carcinoma	http://purl.obolibrary.org/obo/MONDO_0021337
HnsccImmuneLandscape	specimen_from_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
HnsccImmuneLandscape	specimen_from_organism	organ	blood	http://purl.obolibrary.org/obo/UBERON_0000178
HnsccImmuneLandscape	specimen_from_organism	organ_parts	blood	http://purl.obolibrary.org/obo/UBERON_0000178
HnsccImmuneLandscape	specimen_from_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
HnsccImmuneLandscape	specimen_from_organism	organ	mouth	http://purl.obolibrary.org/obo/UBERON_0000165
HnsccImmuneLandscape	specimen_from_organism	organ_parts	oral cavity	http://purl.obolibrary.org/obo/UBERON_0000167
HnsccImmuneLandscape	specimen_from_organism	diseases	oral cavity carcinoma	http://purl.obolibrary.org/obo/MONDO_0044925
HnsccImmuneLandscape	specimen_from_organism	organ_parts	mouth floor	http://purl.obolibrary.org/obo/UBERON_0003679
HnsccImmuneLandscape	specimen_from_organism	diseases	carcinoma of floor of mouth	http://purl.obolibrary.org/obo/MONDO_0021343
HnsccImmuneLandscape	specimen_from_organism	organ_parts	buccal mucosa	http://purl.obolibrary.org/obo/UBERON_0006956
HnsccImmuneLandscape	specimen_from_organism	diseases	squamous cell carcinoma of buccal mucosa	http://purl.obolibrary.org/obo/MONDO_0021431
HnsccImmuneLandscape	specimen_from_organism	organ_parts	tongue	http://purl.obolibrary.org/obo/UBERON_0001723
HnsccImmuneLandscape	specimen_from_organism	diseases	tongue cancer	http://purl.obolibrary.org/obo/MONDO_0004631
HnsccImmuneLandscape	specimen_from_organism	organ_parts	larynx	http://purl.obolibrary.org/obo/UBERON_0001737
HnsccImmuneLandscape	specimen_from_organism	diseases	laryngeal carcinoma	http://purl.obolibrary.org/obo/MONDO_0002358
HnsccImmuneLandscape	specimen_from_organism	organ_parts	gingiva of lower jaw	http://purl.obolibrary.org/obo/UBERON_0011602
HnsccImmuneLandscape	specimen_from_organism	diseases	lower gum cancer	http://purl.obolibrary.org/obo/MONDO_0004713
HnsccImmuneLandscape	specimen_from_organism	organ_parts	supraglottic part of larynx	http://purl.obolibrary.org/obo/UBERON_0036263
HnsccImmuneLandscape	specimen_from_organism	diseases	carcinoma of supraglottis	http://purl.obolibrary.org/obo/MONDO_0004357
HnsccImmuneLandscape	specimen_from_organism	organ_parts	mandible	http://purl.obolibrary.org/obo/UBERON_0001684
HnsccImmuneLandscape	specimen_from_organism	diseases	mandibular cancer	http://purl.obolibrary.org/obo/MONDO_0005837
HnsccImmuneLandscape	specimen_from_organism	organ_parts	posterior part of tongue	http://purl.obolibrary.org/obo/UBERON_0010033
HnsccImmuneLandscape	specimen_from_organism	diseases	human papilloma virus infection	http://purl.obolibrary.org/obo/MONDO_0005161
