STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG
1M Immune Cells	donor_organism	development_stage	adult	http://purl.obolibrary.org/obo/HsapDv_0000087
1M Immune Cells	donor_organism	ethnicity	African-american	http://purl.obolibrary.org/obo/HANCESTRO_0568
1M Immune Cells	donor_organism	ethnicity	Asian	http://purl.obolibrary.org/obo/HANCESTRO_0008
1M Immune Cells	donor_organism	ethnicity	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005
1M Immune Cells	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
1M Immune Cells	donor_organism	height_unit	centimeter	http://purl.obolibrary.org/obo/UO_0000015
1M Immune Cells	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
1M Immune Cells	sequencing_protocol	instrument_manufacturer_model	Illumina Hiseq X 10	http://www.ebi.ac.uk/efo/EFO_0008567
1M Immune Cells	library_preparation_protocol	library_construction_method	10X v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009310
1M Immune Cells	library_preparation_protocol	method	10x v2	http://www.ebi.ac.uk/efo/EFO_0009310
1M Immune Cells	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
1M Immune Cells	specimen_from_organism	organ	blood	http://purl.obolibrary.org/obo/UBERON_0000178
1M Immune Cells	specimen_from_organism	organ	immune system	http://purl.obolibrary.org/obo/UBERON_0002405
1M Immune Cells	specimen_from_organism	organ_parts	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371
1M Immune Cells	specimen_from_organism	organ_parts	umbilical cord blood	http://purl.obolibrary.org/obo/UBERON_0012168
1M Immune Cells	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
1M Immune Cells	cell_suspension	selected_cell_types	bone marrow hematopoietic cell	http://purl.obolibrary.org/obo/CL_1001610
1M Immune Cells	cell_suspension	selected_cell_types	umbilical cord blood cell	http://purl.obolibrary.org/obo/CL_2000095
1M Immune Cells	donor_organism	weight_unit	kilogram	http://purl.obolibrary.org/obo/UO_0000009
1M Neurons	donor_organism	development_stage	mouse embryo stage	http://www.ebi.ac.uk/efo/EFO_0005857
1M Neurons	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
1M Neurons	donor_organism	genus_species	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
1M Neurons	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
1M Neurons	library_preparation_protocol	instrument_manufacturer_model	Illumina HiSeq 4000	http://www.ebi.ac.uk/efo/EFO_0008563
1M Neurons	library_preparation_protocol	library_construction_method	10x_v2	http://www.ebi.ac.uk/efo/EFO_0009310
1M Neurons	dissociation_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
1M Neurons	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
1M Neurons	specimen_from_organism	organ	Brain	http://purl.obolibrary.org/obo/UBERON_0000955
1M Neurons	specimen_from_organism	organism_age_unit	day	http://purl.obolibrary.org/obo/UO_0000033
1M Neurons	cell_suspension	selected_cell_types	neuron	http://purl.obolibrary.org/obo/CL_0000540
1M Neurons	specimen_from_organism	storage_time_unit	day	http://purl.obolibrary.org/obo/UO_0000033
Adult_Nonmobilised_PB	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
Adult_Nonmobilised_PB	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Adult_Nonmobilised_PB	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Adult_Nonmobilised_PB	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
Adult_Nonmobilised_PB	sequencing_protocol	instrument_manufacturer_model	Illumina NovaSeq 6000	http://www.ebi.ac.uk/efo/EFO_0008637
Adult_Nonmobilised_PB	library_preparation_protocol	library_construction_method	10X 3' v3 sequencing	http://www.ebi.ac.uk/efo/EFO_0009922
Adult_Nonmobilised_PB	collection_protocol	method	apheresis	http://www.ebi.ac.uk/efo/EFO_0009121
Adult_Nonmobilised_PB	collection_protocol	method	blood draw	http://www.ebi.ac.uk/efo/EFO_0009121
Adult_Nonmobilised_PB	dissociation_protocol	method	density gradient separation	http://www.ebi.ac.uk/efo/EFO_0009112
Adult_Nonmobilised_PB	enrichment_protocol	method	fluorescence activated cell sorting	http://www.ebi.ac.uk/efo/EFO_0009108
Adult_Nonmobilised_PB	enrichment_protocol	method	magnetic selection	http://www.ebi.ac.uk/efo/EFO_0009109
Adult_Nonmobilised_PB	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
Adult_Nonmobilised_PB	specimen_from_organism	organ	peripheral blood	http://purl.obolibrary.org/obo/UBERON_0000178
Adult_Nonmobilised_PB	specimen_from_organism	organism_age_unit	years	http://purl.obolibrary.org/obo/UO_0000036
Adult_Nonmobilised_PB	cell_suspension	selected_cell_types	peripheral blood hematopoietic stem cell	http://purl.obolibrary.org/obo/CL_0002246
Adult_Nonmobilised_PB	cell_suspension	selected_cell_types	progenitor cell	http://purl.obolibrary.org/obo/CL_0000837
Adult_Nonmobilised_PB	specimen_from_organism	storage_time_unit	week	http://purl.obolibrary.org/obo/UO_0000034
AdultHemOrgans	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
AdultHemOrgans	donor_organism	diseases	history of asthma	http://purl.obolibrary.org/obo/MONDO:0004979
AdultHemOrgans	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
AdultHemOrgans	donor_organism	ethnicity	white	http://purl.obolibrary.org/obo/HANCESTRO_0005
AdultHemOrgans	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
AdultHemOrgans	donor_organism	height_unit	cm	http://purl.obolibrary.org/obo/UO_0000015
AdultHemOrgans	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
AdultHemOrgans	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 4000	http://www.ebi.ac.uk/efo/EFO_0008563
AdultHemOrgans	library_preparation_protocol	library_construction_method	10X 3' v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009899
AdultHemOrgans	collection_protocol	method	blood draw	http://www.ebi.ac.uk/efo/EFO_0009121
AdultHemOrgans	collection_protocol	method	bone marrow aspirate	http://www.ebi.ac.uk/efo/EFO_0009292
AdultHemOrgans	collection_protocol	method	collecting specimen from organ postmortem	http://www.ebi.ac.uk/efo/EFO_0009627
AdultHemOrgans	dissociation_protocol	method	mechanical dissociation	http://www.ebi.ac.uk/efo/EFO_0009129
AdultHemOrgans	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
AdultHemOrgans	specimen_from_organism	organ	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371
AdultHemOrgans	specimen_from_organism	organ	peripheral blood	http://purl.obolibrary.org/obo/UBERON_0000178
AdultHemOrgans	specimen_from_organism	organ	spleen	http://purl.obolibrary.org/obo/UBERON_0002106
AdultHemOrgans	donor_organism	organism_age_unit	years	http://purl.obolibrary.org/obo/UO_0000036
AdultHemOrgans	cell_suspension	selected_cell_types	bone marrow hematopoietic stem and progenitor cells	http://purl.obolibrary.org/obo/CL_1001610
AdultHemOrgans	cell_suspension	selected_cell_types	peripheral blood hematopoietic stem and progenitor cells	http://purl.obolibrary.org/obo/CL_0000037
AdultHemOrgans	cell_suspension	selected_cell_types	spleen hematopoietic stem and progenitor cells	http://purl.obolibrary.org/obo/CL_0000837
AdultHemOrgans	specimen_from_organism	storage_time_unit	week	http://purl.obolibrary.org/obo/UO_0000034
AdultHemOrgans	donor_organism	weight_unit	kg	http://purl.obolibrary.org/obo/UO_0000009
BM_PC	library_preparation_protocol	cdna_library_amplification_method	PCR	http://purl.obolibrary.org/obo/OBI_0000415
BM_PC	cell_suspension	cell_size_unit	micrometer	http://purl.obolibrary.org/obo/UO_0000017
BM_PC	donor_organism	development_stage	adult	http://purl.obolibrary.org/obo/HsapDv_0000087
BM_PC	donor_organism	diseases	isolated hip osteoarthritis	http://purl.obolibrary.org/obo/MONDO_0006629
BM_PC	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
BM_PC	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
BM_PC	sequencing_protocol	instrument_manufacturer_model	Illumina NextSeq500	http://www.ebi.ac.uk/efo/EFO_0009173
BM_PC	library_preparation_protocol	library_construction_method	MARS-seq	http://www.ebi.ac.uk/efo/EFO_0008796
BM_PC	library_preparation_protocol	library_preamplification_method	In vitro transcription	http://www.ebi.ac.uk/efo/EFO_0009013
BM_PC	dissociation_protocol	method	Ficoll-Hypaque method	http://www.ebi.ac.uk/efo/EFO_0009110
BM_PC	enrichment_protocol	method	magnetic affinity cell sorting	http://www.ebi.ac.uk/efo/EFO_0009109
BM_PC	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
BM_PC	specimen_from_organism	organ	bone	http://purl.obolibrary.org/obo/UBERON_0001474
BM_PC	specimen_from_organism	organ_parts	bone marrow	http://purl.obolibrary.org/obo/UBERON_0002371
BM_PC	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
BM_PC	cell_suspension	selected_cell_types	Plasma cells	http://purl.obolibrary.org/obo/CL_0000786
CD4+ cytotoxic T lymphocytes	donor_organism	development_stage	adult	http://purl.obolibrary.org/obo/HsapDv_0000087
CD4+ cytotoxic T lymphocytes	donor_organism	diseases	asymptomatic dengue	http://purl.obolibrary.org/obo/MONDO_0000259
CD4+ cytotoxic T lymphocytes	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
CD4+ cytotoxic T lymphocytes	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
CD4+ cytotoxic T lymphocytes	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
CD4+ cytotoxic T lymphocytes	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 2500	http://www.ebi.ac.uk/efo/EFO_0008565
CD4+ cytotoxic T lymphocytes	library_preparation_protocol	library_construction_method	Smart-seq2	http://www.ebi.ac.uk/efo/EFO_0008931
CD4+ cytotoxic T lymphocytes	library_preparation_protocol	library_preamplification_method	PCR	http://purl.obolibrary.org/obo/OBI_0000415
CD4+ cytotoxic T lymphocytes	collection_protocol	method	blood draw	http://www.ebi.ac.uk/efo/EFO_0009121
CD4+ cytotoxic T lymphocytes	dissociation_protocol	method	Ficoll-Hypaque method	http://www.ebi.ac.uk/efo/EFO_0009110
CD4+ cytotoxic T lymphocytes	enrichment_protocol	method	fluorescence-activated cell sorting	http://www.ebi.ac.uk/efo/EFO_0009108
CD4+ cytotoxic T lymphocytes	library_preparation_protocol	method	full length single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008441
CD4+ cytotoxic T lymphocytes	collection_protocol	method	leukapheresis	http://www.ebi.ac.uk/efo/EFO_0009126
CD4+ cytotoxic T lymphocytes	specimen_from_organism	organ	blood	http://purl.obolibrary.org/obo/UBERON_0000178
CD4+ cytotoxic T lymphocytes	specimen_from_organism	organ_parts	peripheral blood mononuclear cell	http://purl.obolibrary.org/obo/CL_2000001
CD4+ cytotoxic T lymphocytes	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
CD4+ cytotoxic T lymphocytes	cell_suspension	selected_cell_types	DENV antigen specific TEM	http://purl.obolibrary.org/obo/CL_0000625
CD4+ cytotoxic T lymphocytes	cell_suspension	selected_cell_types	DENV antigen specific TEMRA	http://purl.obolibrary.org/obo/CL_0001062
CD4+ cytotoxic T lymphocytes	cell_suspension	selected_cell_types	IL7R high TEMRA	http://purl.obolibrary.org/obo/CL_0001062
CD4+ cytotoxic T lymphocytes	cell_suspension	selected_cell_types	IL7R low TEMRA	http://purl.obolibrary.org/obo/CL_0001062
CD4+ cytotoxic T lymphocytes	cell_suspension	selected_cell_types	TCM	http://purl.obolibrary.org/obo/CL_0000625
CD4+ cytotoxic T lymphocytes	cell_suspension	selected_cell_types	TEM	http://purl.obolibrary.org/obo/CL_0000625
CD4+ cytotoxic T lymphocytes	cell_suspension	selected_cell_types	TEMRA	http://purl.obolibrary.org/obo/CL_0001062
ColonImmune10XSS2VDJ	donor_organism	development_stage	adult	http://purl.obolibrary.org/obo/HsapDv_0000087
ColonImmune10XSS2VDJ	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
ColonImmune10XSS2VDJ	donor_organism	ethnicity	mixed race; south american	http://purl.obolibrary.org/obo/HANCESTRO_0014
ColonImmune10XSS2VDJ	donor_organism	ethnicity	white	http://purl.obolibrary.org/obo/HANCESTRO_0005
ColonImmune10XSS2VDJ	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
ColonImmune10XSS2VDJ	donor_organism	height_unit	cm	http://purl.obolibrary.org/obo/UO_0000015
ColonImmune10XSS2VDJ	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
ColonImmune10XSS2VDJ	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 4000	http://www.ebi.ac.uk/efo/EFO_0008563
ColonImmune10XSS2VDJ	sequencing_protocol	instrument_manufacturer_model	Novaseq	http://www.ebi.ac.uk/efo/EFO_0008637
ColonImmune10XSS2VDJ	library_preparation_protocol	library_construction_method	10X 3' v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009899
ColonImmune10XSS2VDJ	library_preparation_protocol	library_construction_method	10X 5' v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009900
ColonImmune10XSS2VDJ	library_preparation_protocol	library_construction_method	10X Ig enrichment	http://www.ebi.ac.uk/efo/EFO_0010715
ColonImmune10XSS2VDJ	library_preparation_protocol	library_construction_method	10X TCR enrichment	http://www.ebi.ac.uk/efo/EFO_0010714
ColonImmune10XSS2VDJ	library_preparation_protocol	library_construction_method	Smart-seq2	http://www.ebi.ac.uk/efo/EFO_0008931
ColonImmune10XSS2VDJ	collection_protocol	method	collecting specimen from organ postmortem	http://www.ebi.ac.uk/efo/EFO_0009627
ColonImmune10XSS2VDJ	dissociation_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
