peak	gene	distance	peak_type
chr1_565113_565543	OR4F16	56510	distal
chr1_569179_569635	OR4F16	52418	distal
chr1_713534_714806	AL669831.1	24331	distal
chr1_752436_753020	AL669831.1	-13300	distal
chr1_762144_763353	AL669831.1	-23008	distal
chr1_779610_780252	AL645608.2	-37791	distal
chr1_793596_793682	AL645608.2	-24361	distal
chr1_804934_805758	AL645608.2	-12285	distal
chr1_839562_841087	SAMD11	-20031	distal
chr1_842027_842554	SAMD11	-18564	distal
chr1_856262_856894	SAMD11	-4224	distal
chr1_858609_861473	AL645608.1;SAMD11	0;0	distal;promoter
chr1_870784_870982	AL645608.1;SAMD11	-4340;0	distal;distal
chr1_875497_878002	AL645608.1;SAMD11	-9053;0	distal;distal
chr1_894058_896871	KLHL17;NOC2L	0;0	promoter;promoter
chr1_901340_902836	PLEKHN1	0	promoter
chr1_911158_912023	PERM1	4386	distal
chr1_919291_919963	PERM1	-1819	distal
chr1_926760_926871	HES4	8490	distal
chr1_928673_937862	HES4;ISG15	0;0	promoter;promoter
chr1_940040_940977	ISG15	3523	distal
chr1_944504_944945	ISG15	-3858	distal
chr1_948147_951118	ISG15	0	promoter
chr1_954384_958197	AGRN	0	promoter
chr1_962397_962398	AGRN	6895	distal
chr1_967849_970074	AGRN	12347	distal
chr1_973919_976832	AGRN	18417	distal
chr1_977405_977644	AGRN	21903	distal
chr1_994191_995631	RNF223	14056	distal
chr1_997448_997519	RNF223	12168	distal
chr1_998920_1000183	RNF223	9504	distal
chr1_1002098_1006184	RNF223	3503	distal
chr1_1014740_1015895	RNF223	-5054	distal
chr1_1034167_1035324	C1orf159	6183	distal
chr1_1051008_1052538	C1orf159	0	promoter
chr1_1057203_1058313	C1orf159	-5726	distal
chr1_1071706_1073434	C1orf159	-20229	distal
chr1_1079277_1080243	C1orf159	-27800	distal
chr1_1092162_1094203	TTLL10	-15080	distal
chr1_1101466_1101665	TTLL10	-7618	distal
chr1_1107083_1107790	TTLL10	-1493	distal
chr1_1108924_1109604	TTLL10	0	promoter
chr1_1134696_1135063	TNFRSF18	5997	distal
chr1_1135900_1137347	TNFRSF18	3713	distal
chr1_1140592_1142750	TNFRSF18	0	promoter
chr1_1143252_1144837	TNFRSF18	-1182	distal
chr1_1147683_1152935	SDF4;TNFRSF4	0;0	distal;promoter
chr1_1154617_1155206	SDF4;TNFRSF4	0;-5106	distal;distal
chr1_1157238_1157678	SDF4;TNFRSF4	0;-7727	distal;distal
chr1_1166378_1168266	B3GALT6;SDF4	0;0	promoter;promoter
chr1_1181968_1182166	C1QTNF12	0	promoter
